        Lon,        Lat, YearDay, Time,       Satellite, Method of Detect, Ecosys, Fire RadPower
 -64.958000,   8.381000, 2018320, 0508,         NOAA 20,            VIIRS,     43,         1.137
 -64.718000,   9.273000, 2018320, 0508,         NOAA 20,            VIIRS,     91,         1.048
 -64.519000,   9.376000, 2018320, 0508,         NOAA 20,            VIIRS,     91,        15.414
 -64.522000,   9.376000, 2018320, 0508,         NOAA 20,            VIIRS,     91,        24.844
 -64.525000,   9.376000, 2018320, 0508,         NOAA 20,            VIIRS,     91,        24.844
 -64.529000,   9.377000, 2018320, 0508,         NOAA 20,            VIIRS,     91,         7.997
 -64.532000,   9.377000, 2018320, 0508,         NOAA 20,            VIIRS,     58,         7.997
 -64.536000,   9.378000, 2018320, 0508,         NOAA 20,            VIIRS,     58,         2.338
 -64.547000,   9.390000, 2018320, 0508,         NOAA 20,            VIIRS,     58,         2.130
 -72.571000,   7.889000, 2018320, 0559,       SUOMI NPP,            VIIRS,     43,         1.295
 -72.570000,   7.892000, 2018320, 0559,       SUOMI NPP,            VIIRS,     42,         1.877
 -64.073000,   8.525000, 2018320, 0559,       SUOMI NPP,            VIIRS,     43,         1.053
 -64.072000,   8.529000, 2018320, 0559,       SUOMI NPP,            VIIRS,     43,         0.900
 -79.538000,   9.169000, 2018320, 0559,       SUOMI NPP,            VIIRS,     93,         1.564
 -64.520000,   9.372000, 2018320, 0559,       SUOMI NPP,            VIIRS,     91,         0.798
 -64.524000,   9.373000, 2018320, 0559,       SUOMI NPP,            VIIRS,     91,         0.798
 -64.522000,   9.375000, 2018320, 0559,       SUOMI NPP,            VIIRS,     91,         1.331
 -63.476000,   9.733000, 2018320, 0559,       SUOMI NPP,            VIIRS,     19,         1.631
 -63.479000,   9.733000, 2018320, 0559,       SUOMI NPP,            VIIRS,     19,         1.888
 -63.468000,   9.735000, 2018320, 0559,       SUOMI NPP,            VIIRS,      1,         1.394
 -63.470000,   9.736000, 2018320, 0559,       SUOMI NPP,            VIIRS,      1,         1.631
 -63.473000,   9.736000, 2018320, 0559,       SUOMI NPP,            VIIRS,     19,         1.394
 -63.475000,   9.737000, 2018320, 0559,       SUOMI NPP,            VIIRS,     19,         1.631
 -63.478000,   9.737000, 2018320, 0559,       SUOMI NPP,            VIIRS,     19,         2.405
 -63.467000,   9.739000, 2018320, 0559,       SUOMI NPP,            VIIRS,      1,         1.394
 -63.470000,   9.740000, 2018320, 0559,       SUOMI NPP,            VIIRS,      1,         2.888
 -63.472000,   9.740000, 2018320, 0559,       SUOMI NPP,            VIIRS,     19,         1.394
 -64.856000,  10.078000, 2018320, 0559,       SUOMI NPP,            VIIRS,      8,         1.059
 -64.858000,  10.078000, 2018320, 0559,       SUOMI NPP,            VIIRS,      8,         0.939
 -68.121000,  10.474000, 2018320, 0559,       SUOMI NPP,            VIIRS,     43,         3.532
