        Lon,        Lat, YearDay, Time,       Satellite, Method of Detect, Ecosys, Fire RadPower
-118.780000,  34.037000, 2018313, 0000,       GOES-EAST,              FDC,     46,      -999.000
-118.876000,  34.068000, 2018313, 0000,       GOES-EAST,              FDC,     46,      -999.000
-118.953000,  34.074000, 2018313, 0000,       GOES-EAST,              FDC,     46,      -999.000
-118.707000,  34.081000, 2018313, 0000,       GOES-EAST,              FDC,     46,      -999.000
-118.859000,  34.092000, 2018313, 0000,       GOES-EAST,              FDC,     22,      -999.000
-118.897000,  34.094000, 2018313, 0000,       GOES-EAST,              FDC,     46,      -999.000
-118.936000,  34.097000, 2018313, 0000,       GOES-EAST,              FDC,     22,      -999.000
-118.690000,  34.105000, 2018313, 0000,       GOES-EAST,              FDC,     46,      -999.000
-118.728000,  34.108000, 2018313, 0000,       GOES-EAST,              FDC,     46,      -999.000
-121.439000,  39.813000, 2018313, 0000,       GOES-EAST,              FDC,     22,      -999.000
-118.850000,  34.100000, 2018313, 0000,       GOES-WEST,             ABBA,     22,      -999.000
-121.570000,  39.800000, 2018313, 0000,       GOES-WEST,             ABBA,     22,      -999.000
-118.780000,  34.037000, 2018313, 0002,       GOES-EAST,              FDC,     46,      -999.000
-118.876000,  34.068000, 2018313, 0002,       GOES-EAST,              FDC,     46,      -999.000
-118.707000,  34.081000, 2018313, 0002,       GOES-EAST,              FDC,     46,      -999.000
-118.859000,  34.092000, 2018313, 0002,       GOES-EAST,              FDC,     22,      -999.000
-118.897000,  34.094000, 2018313, 0002,       GOES-EAST,              FDC,     46,      -999.000
-118.936000,  34.097000, 2018313, 0002,       GOES-EAST,              FDC,     22,      -999.000
-118.690000,  34.105000, 2018313, 0002,       GOES-EAST,              FDC,     46,      -999.000
-118.728000,  34.108000, 2018313, 0002,       GOES-EAST,              FDC,     46,      -999.000
-121.439000,  39.813000, 2018313, 0002,       GOES-EAST,              FDC,     22,      -999.000
-118.876000,  34.068000, 2018313, 0007,       GOES-EAST,              FDC,     46,      -999.000
-118.707000,  34.081000, 2018313, 0007,       GOES-EAST,              FDC,     46,      -999.000
-118.859000,  34.092000, 2018313, 0007,       GOES-EAST,              FDC,     22,      -999.000
-118.897000,  34.094000, 2018313, 0007,       GOES-EAST,              FDC,     46,      -999.000
-118.936000,  34.097000, 2018313, 0007,       GOES-EAST,              FDC,     22,      -999.000
-118.690000,  34.105000, 2018313, 0007,       GOES-EAST,              FDC,     46,      -999.000
-121.439000,  39.813000, 2018313, 0007,       GOES-EAST,              FDC,     22,      -999.000
-118.876000,  34.068000, 2018313, 0012,       GOES-EAST,              FDC,     46,      -999.000
-118.915000,  34.071000, 2018313, 0012,       GOES-EAST,              FDC,     22,      -999.000
-118.707000,  34.081000, 2018313, 0012,       GOES-EAST,              FDC,     46,      -999.000
-118.897000,  34.094000, 2018313, 0012,       GOES-EAST,              FDC,     46,      -999.000
-118.936000,  34.097000, 2018313, 0012,       GOES-EAST,              FDC,     22,      -999.000
-118.690000,  34.105000, 2018313, 0012,       GOES-EAST,              FDC,     46,      -999.000
-118.707000,  34.081000, 2018313, 0017,       GOES-EAST,              FDC,     46,      -999.000
-118.690000,  34.105000, 2018313, 0017,       GOES-EAST,              FDC,     46,      -999.000
-118.780000,  34.037000, 2018313, 0027,       GOES-EAST,              FDC,     46,      -999.000
-118.894000,  34.045000, 2018313, 0027,       GOES-EAST,              FDC,     46,      -999.000
-118.915000,  34.071000, 2018313, 0027,       GOES-EAST,              FDC,     22,      -999.000
-118.953000,  34.074000, 2018313, 0027,       GOES-EAST,              FDC,     46,      -999.000
-118.707000,  34.081000, 2018313, 0027,       GOES-EAST,              FDC,     46,      -999.000
-118.745000,  34.084000, 2018313, 0027,       GOES-EAST,              FDC,     22,      -999.000
-118.859000,  34.092000, 2018313, 0027,       GOES-EAST,              FDC,     22,      -999.000
-118.897000,  34.094000, 2018313, 0027,       GOES-EAST,              FDC,     46,      -999.000
-118.936000,  34.097000, 2018313, 0027,       GOES-EAST,              FDC,     22,      -999.000
-118.690000,  34.105000, 2018313, 0027,       GOES-EAST,              FDC,     46,      -999.000
-118.728000,  34.108000, 2018313, 0027,       GOES-EAST,              FDC,     46,      -999.000
-118.842000,  34.115000, 2018313, 0027,       GOES-EAST,              FDC,     46,      -999.000
-118.880000,  34.118000, 2018313, 0027,       GOES-EAST,              FDC,     22,      -999.000
-118.680000,  34.228000, 2018313, 0027,       GOES-EAST,              FDC,     46,      -999.000
-121.492000,  39.707000, 2018313, 0027,       GOES-EAST,              FDC,     22,      -999.000
-121.537000,  39.711000, 2018313, 0027,       GOES-EAST,              FDC,     22,      -999.000
-121.439000,  39.813000, 2018313, 0027,       GOES-EAST,              FDC,     22,      -999.000
-118.900000,  34.100000, 2018313, 0030,       GOES-WEST,             ABBA,     46,      -999.000
-121.470000,  39.700000, 2018313, 0030,       GOES-WEST,             ABBA,     22,      -999.000
-121.600000,  39.800000, 2018313, 0030,       GOES-WEST,             ABBA,     22,      -999.000
-121.430000,  39.810000, 2018313, 0030,       GOES-WEST,             ABBA,     22,      -999.000
-118.780000,  34.037000, 2018313, 0032,       GOES-EAST,              FDC,     46,      -999.000
-118.894000,  34.045000, 2018313, 0032,       GOES-EAST,              FDC,     46,      -999.000
-118.763000,  34.061000, 2018313, 0032,       GOES-EAST,              FDC,     22,      -999.000
-118.915000,  34.071000, 2018313, 0032,       GOES-EAST,              FDC,     22,      -999.000
-118.953000,  34.074000, 2018313, 0032,       GOES-EAST,              FDC,     46,      -999.000
-118.707000,  34.081000, 2018313, 0032,       GOES-EAST,              FDC,     46,      -999.000
-118.745000,  34.084000, 2018313, 0032,       GOES-EAST,              FDC,     22,      -999.000
-118.859000,  34.092000, 2018313, 0032,       GOES-EAST,              FDC,     22,      -999.000
-118.897000,  34.094000, 2018313, 0032,       GOES-EAST,              FDC,     46,      -999.000
-118.936000,  34.097000, 2018313, 0032,       GOES-EAST,              FDC,     22,      -999.000
-118.690000,  34.105000, 2018313, 0032,       GOES-EAST,              FDC,     46,      -999.000
-118.728000,  34.108000, 2018313, 0032,       GOES-EAST,              FDC,     46,      -999.000
-118.842000,  34.115000, 2018313, 0032,       GOES-EAST,              FDC,     46,      -999.000
-118.880000,  34.118000, 2018313, 0032,       GOES-EAST,              FDC,     22,      -999.000
-118.680000,  34.228000, 2018313, 0032,       GOES-EAST,              FDC,     46,      -999.000
-121.492000,  39.707000, 2018313, 0032,       GOES-EAST,              FDC,     22,      -999.000
-121.537000,  39.711000, 2018313, 0032,       GOES-EAST,              FDC,     22,      -999.000
-118.780000,  34.037000, 2018313, 0037,       GOES-EAST,              FDC,     46,      -999.000
-118.894000,  34.045000, 2018313, 0037,       GOES-EAST,              FDC,     46,      -999.000
-118.763000,  34.061000, 2018313, 0037,       GOES-EAST,              FDC,     22,      -999.000
-118.915000,  34.071000, 2018313, 0037,       GOES-EAST,              FDC,     22,      -999.000
-118.953000,  34.074000, 2018313, 0037,       GOES-EAST,              FDC,     46,      -999.000
-118.707000,  34.081000, 2018313, 0037,       GOES-EAST,              FDC,     46,      -999.000
-118.745000,  34.084000, 2018313, 0037,       GOES-EAST,              FDC,     22,      -999.000
-118.897000,  34.094000, 2018313, 0037,       GOES-EAST,              FDC,     46,      -999.000
-118.936000,  34.097000, 2018313, 0037,       GOES-EAST,              FDC,     22,      -999.000
-118.690000,  34.105000, 2018313, 0037,       GOES-EAST,              FDC,     46,      -999.000
-118.728000,  34.108000, 2018313, 0037,       GOES-EAST,              FDC,     46,      -999.000
-118.680000,  34.228000, 2018313, 0037,       GOES-EAST,              FDC,     46,      -999.000
-121.492000,  39.707000, 2018313, 0037,       GOES-EAST,              FDC,     22,      -999.000
-121.537000,  39.711000, 2018313, 0037,       GOES-EAST,              FDC,     22,      -999.000
 -55.329000,   5.614000, 2018313, 0539,         NOAA 20,            VIIRS,     33,         1.327
 -55.328000,   5.615000, 2018313, 0539,         NOAA 20,            VIIRS,     33,         0.922
 -55.331000,   5.615000, 2018313, 0539,         NOAA 20,            VIIRS,     33,         0.922
 -55.044000,   5.798000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         0.943
 -55.047000,   5.798000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         1.127
 -62.907000,   8.212000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.688
 -62.877000,   8.224000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         1.657
 -62.818000,   8.276000, 2018313, 0539,         NOAA 20,            VIIRS,      9,         0.990
 -62.822000,   8.277000, 2018313, 0539,         NOAA 20,            VIIRS,      8,         0.990
 -64.654000,   8.442000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.371
 -64.073000,   8.528000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         1.573
 -64.136000,   8.559000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.647
 -63.152000,   8.686000, 2018313, 0539,         NOAA 20,            VIIRS,      9,         7.055
 -63.155000,   8.687000, 2018313, 0539,         NOAA 20,            VIIRS,      9,         7.055
 -63.155000,   8.690000, 2018313, 0539,         NOAA 20,            VIIRS,      9,         1.920
 -63.229000,   8.692000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.827
 -70.210000,   8.700000, 2018313, 0539,         NOAA 20,            VIIRS,     91,         1.506
 -62.910000,   8.726000, 2018313, 0539,         NOAA 20,            VIIRS,     27,         1.557
 -62.910000,   8.729000, 2018313, 0539,         NOAA 20,            VIIRS,     27,         1.557
 -63.923000,   8.937000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.620
 -63.926000,   8.937000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.620
 -63.815000,   8.940000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.382
 -64.140000,   9.103000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.507
 -64.870000,   9.185000, 2018313, 0539,         NOAA 20,            VIIRS,     91,         1.831
 -63.290000,   9.201000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.375
 -64.512000,   9.221000, 2018313, 0539,         NOAA 20,            VIIRS,     91,         1.021
 -64.059000,   9.230000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         0.577
 -64.044000,   9.275000, 2018313, 0539,         NOAA 20,            VIIRS,     58,         5.864
 -64.535000,   9.375000, 2018313, 0539,         NOAA 20,            VIIRS,     58,         1.352
 -64.524000,   9.376000, 2018313, 0539,         NOAA 20,            VIIRS,     91,         3.217
 -64.544000,   9.386000, 2018313, 0539,         NOAA 20,            VIIRS,     58,         4.568
 -64.548000,   9.387000, 2018313, 0539,         NOAA 20,            VIIRS,     58,         4.568
 -63.630000,   9.564000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.634
 -63.726000,   9.616000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         2.429
 -63.729000,   9.616000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.684
 -63.733000,   9.617000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.684
 -63.722000,   9.619000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         2.429
 -63.725000,   9.619000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         2.429
 -63.729000,   9.620000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.684
 -63.732000,   9.620000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.684
 -63.718000,   9.621000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         0.670
 -63.653000,   9.622000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         0.898
 -63.721000,   9.622000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         2.394
 -63.725000,   9.622000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         2.394
 -63.728000,   9.623000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         1.057
 -63.732000,   9.624000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         1.057
 -63.692000,   9.625000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.612
 -63.696000,   9.625000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.612
 -63.717000,   9.625000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         0.670
 -63.721000,   9.625000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         2.394
 -63.699000,   9.626000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.628
 -63.724000,   9.626000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         2.394
 -63.728000,   9.626000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         1.057
 -63.695000,   9.628000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.612
 -63.723000,   9.629000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         0.655
 -63.691000,   9.631000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.678
 -63.695000,   9.632000, 2018313, 0539,         NOAA 20,            VIIRS,     43,         0.678
 -63.554000,   9.640000, 2018313, 0539,         NOAA 20,            VIIRS,     33,         0.483
 -63.558000,   9.641000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         0.483
 -63.554000,   9.643000, 2018313, 0539,         NOAA 20,            VIIRS,     19,         2.135
