        Lon,        Lat, YearDay, Time,       Satellite, Method of Detect, Ecosys, Fire RadPower
-118.664000,  36.240000, 2018319, 0012,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018319, 0017,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018319, 0022,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018319, 0027,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018319, 0032,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018319, 0037,       GOES-EAST,              FDC,     22,      -999.000
 -73.569000,   7.959000, 2018319, 0527,         NOAA 20,            VIIRS,     58,         1.689
 -73.567000,   7.960000, 2018319, 0527,         NOAA 20,            VIIRS,     58,         1.483
 -72.460000,   7.972000, 2018319, 0527,         NOAA 20,            VIIRS,     94,         1.512
 -72.422000,   8.047000, 2018319, 0527,         NOAA 20,            VIIRS,     33,         0.971
 -62.873000,   8.220000, 2018319, 0527,         NOAA 20,            VIIRS,     43,         2.582
 -65.830000,   8.243000, 2018319, 0527,         NOAA 20,            VIIRS,     43,         0.475
 -66.980000,   8.500000, 2018319, 0527,         NOAA 20,            VIIRS,     43,         0.785
 -67.001000,   8.544000, 2018319, 0527,         NOAA 20,            VIIRS,     43,         1.420
 -66.882000,   8.545000, 2018319, 0527,         NOAA 20,            VIIRS,     43,         0.305
 -63.750000,   8.578000, 2018319, 0527,         NOAA 20,            VIIRS,      9,         0.274
 -70.211000,   8.698000, 2018319, 0527,         NOAA 20,            VIIRS,     91,         0.639
 -70.209000,   8.702000, 2018319, 0527,         NOAA 20,            VIIRS,     91,         0.485
 -63.925000,   8.936000, 2018319, 0527,         NOAA 20,            VIIRS,     43,         1.114
 -63.817000,   8.939000, 2018319, 0527,         NOAA 20,            VIIRS,     43,         0.368
 -64.141000,   9.103000, 2018319, 0527,         NOAA 20,            VIIRS,     43,         1.587
 -64.509000,   9.222000, 2018319, 0527,         NOAA 20,            VIIRS,     91,         1.070
 -64.060000,   9.226000, 2018319, 0527,         NOAA 20,            VIIRS,     19,         0.975
 -64.061000,   9.228000, 2018319, 0527,         NOAA 20,            VIIRS,     43,         1.579
