        Lon,        Lat, YearDay, Time,       Satellite, Method of Detect, Ecosys, Fire RadPower
-124.133000,  42.202000, 2018311, 0000,       GOES-EAST,              FDC,     22,      -999.000
-124.184000,  42.206000, 2018311, 0000,       GOES-EAST,              FDC,     22,      -999.000
-124.091000,  42.169000, 2018311, 0002,       GOES-EAST,              FDC,     22,      -999.000
-124.133000,  42.202000, 2018311, 0002,       GOES-EAST,              FDC,     22,      -999.000
-124.319000,  43.237000, 2018311, 0002,       GOES-EAST,              FDC,     22,      -999.000
-124.091000,  42.169000, 2018311, 0007,       GOES-EAST,              FDC,     22,      -999.000
-124.133000,  42.202000, 2018311, 0007,       GOES-EAST,              FDC,     22,      -999.000
-124.319000,  43.237000, 2018311, 0007,       GOES-EAST,              FDC,     22,      -999.000
-124.091000,  42.169000, 2018311, 0012,       GOES-EAST,              FDC,     22,      -999.000
-124.091000,  42.169000, 2018311, 0030,       GOES-EAST,              FDC,     22,      -999.000
-124.133000,  42.202000, 2018311, 0030,       GOES-EAST,              FDC,     22,      -999.000
-124.091000,  42.169000, 2018311, 0032,       GOES-EAST,              FDC,     22,      -999.000
-124.133000,  42.202000, 2018311, 0032,       GOES-EAST,              FDC,     22,      -999.000
-124.091000,  42.169000, 2018311, 0037,       GOES-EAST,              FDC,     22,      -999.000
-124.133000,  42.202000, 2018311, 0037,       GOES-EAST,              FDC,     22,      -999.000
-124.091000,  42.169000, 2018311, 0042,       GOES-EAST,              FDC,     22,      -999.000
-124.133000,  42.202000, 2018311, 0042,       GOES-EAST,              FDC,     22,      -999.000
-124.091000,  42.169000, 2018311, 0047,       GOES-EAST,              FDC,     22,      -999.000
-124.133000,  42.202000, 2018311, 0047,       GOES-EAST,              FDC,     22,      -999.000
 -52.598000,   5.027000, 2018311, 0527,       SUOMI NPP,            VIIRS,     34,         0.960
 -66.811000,   8.598000, 2018311, 0527,       SUOMI NPP,            VIIRS,     43,         1.874
 -66.816000,   8.598000, 2018311, 0527,       SUOMI NPP,            VIIRS,     43,         2.399
 -66.802000,   8.601000, 2018311, 0527,       SUOMI NPP,            VIIRS,     43,         0.373
 -64.524000,   9.373000, 2018311, 0527,       SUOMI NPP,            VIIRS,     91,         5.701
 -64.534000,   9.375000, 2018311, 0527,       SUOMI NPP,            VIIRS,     58,         2.861
 -64.547000,   9.385000, 2018311, 0527,       SUOMI NPP,            VIIRS,     58,         0.882
 -64.546000,   9.388000, 2018311, 0527,       SUOMI NPP,            VIIRS,     58,         0.882
