        Lon,        Lat, YearDay, Time,       Satellite, Method of Detect, Ecosys, Fire RadPower
-121.595000,  39.688000, 2018312, 0000,       GOES-EAST,              FDC,     91,      -999.000
-121.640000,  39.692000, 2018312, 0000,       GOES-EAST,              FDC,     91,      -999.000
-121.523000,  39.737000, 2018312, 0000,       GOES-EAST,              FDC,     22,      -999.000
-121.510000,  39.764000, 2018312, 0000,       GOES-EAST,              FDC,     22,      -999.000
-121.439000,  39.813000, 2018312, 0000,       GOES-EAST,              FDC,     22,      -999.000
-121.471000,  39.843000, 2018312, 0000,       GOES-EAST,              FDC,     22,      -999.000
-121.595000,  39.688000, 2018312, 0002,       GOES-EAST,              FDC,     91,      -999.000
-121.640000,  39.692000, 2018312, 0002,       GOES-EAST,              FDC,     91,      -999.000
-121.523000,  39.737000, 2018312, 0002,       GOES-EAST,              FDC,     22,      -999.000
-121.510000,  39.764000, 2018312, 0002,       GOES-EAST,              FDC,     22,      -999.000
-121.439000,  39.813000, 2018312, 0002,       GOES-EAST,              FDC,     22,      -999.000
-121.471000,  39.843000, 2018312, 0002,       GOES-EAST,              FDC,     22,      -999.000
-121.640000,  39.692000, 2018312, 0007,       GOES-EAST,              FDC,     91,      -999.000
-121.523000,  39.737000, 2018312, 0007,       GOES-EAST,              FDC,     22,      -999.000
-121.510000,  39.764000, 2018312, 0007,       GOES-EAST,              FDC,     22,      -999.000
-121.439000,  39.813000, 2018312, 0007,       GOES-EAST,              FDC,     22,      -999.000
-121.471000,  39.843000, 2018312, 0007,       GOES-EAST,              FDC,     22,      -999.000
-121.640000,  39.692000, 2018312, 0012,       GOES-EAST,              FDC,     91,      -999.000
-121.523000,  39.737000, 2018312, 0012,       GOES-EAST,              FDC,     22,      -999.000
-121.510000,  39.764000, 2018312, 0012,       GOES-EAST,              FDC,     22,      -999.000
-121.439000,  39.813000, 2018312, 0012,       GOES-EAST,              FDC,     22,      -999.000
-121.523000,  39.737000, 2018312, 0015,       GOES-EAST,              FDC,     22,      -999.000
