        Lon,        Lat, YearDay, Time,       Satellite, Method of Detect, Ecosys, Fire RadPower
 -67.810000,   6.117000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         3.016
 -67.807000,   6.119000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         2.048
 -67.810000,   6.119000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         3.375
 -67.809000,   6.123000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         1.231
 -66.079000,   7.836000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.983
 -66.082000,   7.836000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.983
 -66.075000,   7.841000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.401
 -65.060000,   8.321000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.763
 -65.058000,   8.324000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.627
 -64.956000,   8.379000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         1.405
 -64.955000,   8.384000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         1.405
 -64.960000,   8.385000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         2.486
 -66.778000,   8.410000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.531
 -66.769000,   8.420000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         2.191
 -66.770000,   8.420000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         2.187
 -66.672000,   8.463000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.830
 -66.676000,   8.464000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         1.896
 -64.072000,   8.525000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         3.116
 -64.135000,   8.557000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         2.397
 -62.984000,   8.667000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.534
 -62.985000,   8.667000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.562
 -63.155000,   8.683000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         2.383
 -63.152000,   8.685000, 2018317, 0515,       SUOMI NPP,            VIIRS,      9,         4.015
 -63.156000,   8.686000, 2018317, 0515,       SUOMI NPP,            VIIRS,      9,        21.085
 -63.154000,   8.687000, 2018317, 0515,       SUOMI NPP,            VIIRS,      9,        18.654
 -63.229000,   8.689000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.872
 -63.155000,   8.690000, 2018317, 0515,       SUOMI NPP,            VIIRS,      9,         1.175
 -63.230000,   8.691000, 2018317, 0515,       SUOMI NPP,            VIIRS,     43,         0.754
 -62.908000,   8.725000, 2018317, 0515,       SUOMI NPP,            VIIRS,     27,         4.984
