        Lon,        Lat, YearDay, Time,       Satellite, Method of Detect, Ecosys, Fire RadPower
-118.590000,  36.230000, 2018318, 0000,       GOES-WEST,             ABBA,     22,      -999.000
-125.520000,  52.610000, 2018318, 0000,       GOES-WEST,             ABBA,     22,      -999.000
-124.460000,  53.020000, 2018318, 0000,       GOES-WEST,             ABBA,     22,      -999.000
-121.412000,  39.865000, 2018318, 0022,       GOES-EAST,              FDC,     22,      -999.000
-118.590000,  36.230000, 2018318, 0030,       GOES-WEST,             ABBA,     22,      -999.000
-121.400000,  39.860000, 2018318, 0030,       GOES-WEST,             ABBA,     22,      -999.000
-121.412000,  39.865000, 2018318, 0057,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018318, 0100,       GOES-EAST,              FDC,     22,      -999.000
-118.620000,  36.230000, 2018318, 0100,       GOES-WEST,             ABBA,     22,      -999.000
-121.412000,  39.865000, 2018318, 0102,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018318, 0107,       GOES-EAST,              FDC,     22,      -999.000
-118.590000,  36.230000, 2018318, 0111,       GOES-WEST,             ABBA,     22,      -999.000
-121.412000,  39.865000, 2018318, 0112,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018318, 0115,       GOES-EAST,              FDC,     22,      -999.000
-118.590000,  36.230000, 2018318, 0115,       GOES-WEST,             ABBA,     22,      -999.000
-121.412000,  39.865000, 2018318, 0117,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018318, 0122,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018318, 0127,       GOES-EAST,              FDC,     22,      -999.000
-118.620000,  36.230000, 2018318, 0130,       GOES-WEST,             ABBA,     22,      -999.000
-121.412000,  39.865000, 2018318, 0132,       GOES-EAST,              FDC,     22,      -999.000
-121.412000,  39.865000, 2018318, 0137,       GOES-EAST,              FDC,     22,      -999.000
-118.590000,  36.230000, 2018318, 0141,       GOES-WEST,             ABBA,     22,      -999.000
-121.412000,  39.865000, 2018318, 0142,       GOES-EAST,              FDC,     22,      -999.000
-118.620000,  36.230000, 2018318, 0145,       GOES-WEST,             ABBA,     22,      -999.000
-121.412000,  39.865000, 2018318, 0147,       GOES-EAST,              FDC,     22,      -999.000
